,0,HEAT,COOL,LIGHTING,DISCOMFORT,T_m,T_a
208,2013-01-09 16:00:00,19.5255358816,0.0,0.40131,1.0,2.34428283936,0.1
209,2013-01-09 17:00:00,19.6118497245,0.0,0.40131,1.0,2.25492455568,0.1
210,2013-01-09 18:00:00,19.7010020737,0.0,0.40131,1.0,2.16583716851,-0.3
211,2013-01-09 19:00:00,19.764928765,0.0,0.0,0.0,2.11673512801,-0.3
212,2013-01-09 20:00:00,19.8109227913,0.0,0.0,0.0,2.07259343877,-0.1
213,2013-01-09 21:00:00,19.8520183561,0.0,0.0,0.0,2.03331332564,0.1
214,2013-01-09 22:00:00,19.8870653148,0.0,0.0,0.0,2.00078927333,0.4
215,2013-01-09 23:00:00,19.9191835687,0.0,0.0,0.0,1.96891287016,0.4
216,2013-01-10 00:00:00,19.9481668798,0.0,0.0,0.0,1.94165380535,0.6
217,2013-01-10 01:00:00,19.9763335239,0.0,0.0,0.0,1.91294625546,0.5
218,2013-01-10 02:00:00,20.0034352063,0.0,0.0,0.0,1.88680164987,0.6
219,2013-01-10 03:00:00,20.0280059218,0.0,0.0,0.0,1.86316895287,0.7
220,2013-01-10 04:00:00,20.0513437567,0.0,0.0,0.0,1.84000685207,0.7
221,2013-01-10 05:00:00,20.0717214926,0.0,0.0,0.0,1.82128856236,0.9
222,2013-01-10 06:00:00,20.0889585495,0.0,0.0,0.0,1.80493430151,1.0
223,2013-01-10 07:00:00,20.1063564475,0.0,0.0,0.0,1.786914409,0.9
224,2013-01-10 08:00:00,20.1204084467,0.0,0.0,0.0,1.77522722404,1.2
225,2013-01-10 09:00:00,20.1282067507,0.0,0.0,0.0,1.76974664386,1.5
226,2013-01-10 10:00:00,20.1273805146,0.0,0.0,0.0,1.7743316626,2.0
227,2013-01-10 11:00:00,20.1153665797,0.0,0.0,0.0,1.79077313759,2.6
228,2013-01-10 12:00:00,20.0953871814,0.0,0.0,0.0,1.81286109336,2.9
229,2013-01-10 13:00:00,20.0673363784,0.0,0.0,0.0,1.84446567775,3.4
230,2013-01-10 14:00:00,20.0386214947,0.0,0.0,0.0,1.87145833649,3.2
231,2013-01-10 15:00:00,20.013213307,0.0,0.0,0.0,1.89592219942,3.1
232,2013-01-10 16:00:00,19.9903023637,0.0,0.0,0.0,1.91790762229,3.0
233,2013-01-10 17:00:00,19.967343563,0.0,0.0,0.0,1.9414465439,3.1
234,2013-01-10 18:00:00,19.9453460207,0.0,0.0,0.0,1.96252544373,3.0
235,2013-01-10 19:00:00,19.9295208681,0.0,0.0,0.0,1.97521942932,2.6
236,2013-01-10 20:00:00,19.9132422023,0.0,0.0,0.0,1.99363451918,2.9
237,2013-01-10 21:00:00,19.8963045623,0.0,0.0,0.0,2.00969161776,2.8
238,2013-01-10 22:00:00,19.8829431804,0.0,0.0,0.0,2.02144638667,2.6
239,2013-01-10 23:00:00,19.8713350742,0.0,0.0,0.0,2.0329670837,2.6
240,2013-01-11 00:00:00,19.856215058,0.0,0.0,0.0,2.05023224862,2.9
241,2013-01-11 01:00:00,19.8341745597,0.0,0.0,0.0,2.07511878514,3.3
242,2013-01-11 02:00:00,19.8120939036,0.0,0.0,0.0,2.09552717202,3.1
243,2013-01-11 03:00:00,19.7944355239,0.0,0.0,0.0,2.11154658234,2.9
244,2013-01-11 04:00:00,19.7836067343,0.0,0.0,0.0,2.11928182767,2.5
245,2013-01-11 05:00:00,19.7859494978,0.0,0.0,0.0,2.1109326984,1.7
246,2013-01-11 06:00:00,19.8004328918,0.0,0.0,0.0,2.09279336024,1.2
247,2013-01-11 07:00:00,19.8242788146,0.0,0.40131,1.0,2.06556376545,1.0
248,2013-01-11 08:00:00,19.8506743205,0.0,0.40131,1.0,2.03968104777,1.2
249,2013-01-11 09:00:00,19.8648153991,0.0,0.0,1.0,2.03251393064,1.8
250,2013-01-11 10:00:00,19.8605919841,0.0,0.0,1.0,2.04350276654,2.4
251,2013-01-11 11:00:00,19.8399377071,0.0,0.0,1.0,2.06988098651,2.8
252,2013-01-11 12:00:00,19.8097589519,0.0,0.0,1.0,2.10231320549,3.0
253,2013-01-11 13:00:00,19.7736587181,0.0,0.0,1.0,2.14058832725,3.2
254,2013-01-11 14:00:00,19.7376609628,0.0,0.0,1.0,2.17525789891,3.3
255,2013-01-11 15:00:00,19.7092698347,0.0,0.0,1.0,2.19991993747,3.0
256,2013-01-11 16:00:00,19.6913224147,0.0,0.40131,1.0,2.21387028577,2.6
257,2013-01-11 17:00:00,19.6939800366,0.0,0.40131,1.0,2.20137323792,1.9
258,2013-01-11 18:00:00,19.7139796386,0.0,0.40131,1.0,2.17691713057,1.5
259,2013-01-11 19:00:00,19.727785616,0.0,0.0,0.0,2.16941160651,1.8
260,2013-01-11 20:00:00,19.7327021203,0.0,0.0,0.0,2.16603812521,2.0
261,2013-01-11 21:00:00,19.7360335111,0.0,0.0,0.0,2.16273181981,2.0
262,2013-01-11 22:00:00,19.738050877,0.0,0.0,0.0,2.16148264554,2.1
263,2013-01-11 23:00:00,19.743027527,0.0,0.0,0.0,2.15428446728,1.8
264,2013-01-12 00:00:00,19.7513835816,0.0,0.0,0.0,2.14523833293,1.7
265,2013-01-12 01:00:00,19.7615645357,0.0,0.0,0.0,2.13438104071,1.6
266,2013-01-12 02:00:00,19.77353405,0.0,0.0,0.0,2.12174865608,1.5
267,2013-01-12 03:00:00,19.786008822,0.0,0.0,0.0,2.10936781922,1.5
268,2013-01-12 04:00:00,19.7994828719,0.0,0.0,0.0,2.09524222819,1.4
269,2013-01-12 05:00:00,19.8146799069,0.0,0.0,0.0,2.07940662615,1.3
270,2013-01-12 06:00:00,19.8303179302,0.0,0.0,0.0,2.06388635733,1.3
271,2013-01-12 07:00:00,19.8511719666,0.0,0.40131,1.0,2.03986879291,1.1
272,2013-01-12 08:00:00,19.8683832014,0.0,0.0,1.0,2.02671551612,1.6
273,2013-01-12 09:00:00,19.875661683,0.0,0.0,1.0,2.02292637653,1.9
274,2013-01-12 10:00:00,19.8662476491,0.0,0.0,1.0,2.04018245202,2.6
275,2013-01-12 11:00:00,19.830051498,0.0,0.0,1.0,2.08759778259,3.4
276,2013-01-12 12:00:00,19.7727292076,0.0,0.0,1.0,2.15079423889,3.9
277,2013-01-12 13:00:00,19.7065381575,0.0,0.0,1.0,2.21876088312,4.1
278,2013-01-12 14:00:00,19.6421948072,0.0,0.0,1.0,2.28099560993,4.3
279,2013-01-12 15:00:00,19.5980117259,0.0,0.0,1.0,2.31445689362,3.4
280,2013-01-12 16:00:00,19.5924264854,0.0,0.40131,1.0,2.30349213031,2.0
281,2013-01-12 17:00:00,19.6291099794,0.0,0.40131,1.0,2.25159233519,1.0
282,2013-01-12 18:00:00,19.6998834051,0.0,0.40131,1.0,2.16959491716,-0.1
283,2013-01-12 19:00:00,19.758722527,0.0,0.0,0.0,2.12440063469,-0.1
284,2013-01-12 20:00:00,19.8070959876,0.0,0.0,0.0,2.07413242404,-0.4
285,2013-01-12 21:00:00,19.8592323826,0.0,0.0,0.0,2.0208826149,-0.6
286,2013-01-12 22:00:00,19.9055793649,0.0,0.0,0.0,1.97864962994,-0.1
287,2013-01-12 23:00:00,19.9472854144,0.0,0.0,0.0,1.93725762742,-0.1
288,2013-01-13 00:00:00,19.9856655999,0.0,0.0,0.0,1.9006724467,0.1
289,2013-01-13 01:00:00,20.0205466249,0.0,0.0,0.0,1.86680707699,0.2
290,2013-01-13 02:00:00,20.056484835,0.0,0.0,0.0,1.82963348018,0.0
291,2013-01-13 03:00:00,20.0919469345,0.0,0.0,0.0,1.79519141147,0.1
292,2013-01-13 04:00:00,20.1272069611,0.0,0.0,0.0,1.75944389232,0.0
293,2013-01-13 05:00:00,20.1650038373,0.0,0.0,0.0,1.72042562519,-0.2
294,2013-01-13 06:00:00,20.19854453,0.0,0.0,0.0,1.69014949764,0.2
295,2013-01-13 07:00:00,20.2300058754,0.0,0.40131,1.0,1.65800229642,0.4
296,2013-01-13 08:00:00,20.2618459608,0.0,0.0,1.0,1.62636514173,0.6
297,2013-01-13 09:00:00,20.2928895984,0.0,0.0,1.0,1.59567402427,0.6
298,2013-01-13 10:00:00,20.3173769086,0.0,0.0,1.0,1.57487147328,0.9
299,2013-01-13 11:00:00,20.3355233389,0.0,0.0,1.0,1.55831323139,1.1
300,2013-01-13 12:00:00,20.34296323,0.0,0.0,1.0,1.55627991365,1.5
301,2013-01-13 13:00:00,20.3383851175,0.0,0.0,1.0,1.5647781629,1.8
302,2013-01-13 14:00:00,20.3383130963,0.0,0.0,1.0,1.55985084635,1.4
303,2013-01-13 15:00:00,20.3431479758,0.0,0.0,1.0,1.55507087,1.4
304,2013-01-13 16:00:00,20.3548905122,0.0,0.40131,1.0,1.5392030532,1.1
